date,trainset_id,daily_km,cumulative_km,km_deviation_from_mean,km_balance_score,bogie_hours,brake_pad_wear_index,hvac_run_hours,door_cycles,cert_days_rolling_stock,cert_days_signalling,cert_days_telecom,min_cert_days,any_cert_expired,cert_expiring_soon,open_job_count,critical_open_jobs,has_critical_open,daily_exposure,exposure_gap,branding_urgency,days_since_deep_clean,needs_cleaning,available_cleaning_bays,available_manpower,bay_number,is_ibl_bay,shunt_cost,turnout_order,fault_count,critical_faults,high_faults,any_withdrawal,day_of_week,ensemble_score,pkl_score,pipe_score,ml_assignment,predicted_outcome_score,confidence_SERVICE,confidence_STANDBY,confidence_IBL,rank,eligible_for_service,must_ibl,prefer_ibl,rule_reasons,forced_ibl,final_assignment,service_score
2026-02-20 00:46:34.237444,TS-011,97.0,148000.0,35600.0,35600.0,10.0,0.82,8.0,1164,-758,-758,-758,-758,1,0,1,1,1,15.299999999999999,15.0,8.25,773,1,3,8,4,1,2.0,4,1,1,0,0,4,0.5716,0.0,0.9527,IBL,0.5716000199317932,0.0,0.0006,0.9994,19,False,True,True,FITNESS_CERT_EXPIRED; CRITICAL_JOB_OPEN; CERT_EXPIRING_SOON,True,IBL,0.0
2026-02-20 00:46:34.237444,TS-012,63.0,82000.0,-30400.0,30400.0,6.5,0.58,6.2,756,60,60,60,60,0,0,0,0,0,17.099999999999998,5.0,8.0,762,1,3,8,7,0,1.5,7,0,0,0,0,4,0.529,0.0002,0.8816,SERVICE,0.5289999842643738,1.0,0.0,0.0,8,True,False,False,CLEAR,False,SERVICE,0.6597351870681434
2026-02-20 00:46:34.237444,TS-013,83.0,126000.0,13600.0,13600.0,8.6,0.73,7.2,996,60,60,60,60,0,0,0,0,0,16.2,10.0,9.0,768,1,3,8,5,1,2.0,5,0,0,0,0,4,0.5429,1e-04,0.9048,SERVICE,0.542900025844574,0.9983,0.0015,0.0002,3,True,False,False,CLEAR,False,SERVICE,0.503756710001747
2026-02-20 00:46:34.237444,TS-014,80.0,112000.0,-400.0,400.0,7.8,0.7,7.0,960,-724,-724,-724,-724,1,0,1,2,1,13.5,25.0,7.5,774,1,3,8,2,1,2.5,2,2,2,0,0,4,0.5495,0.0,0.9158,IBL,0.5494999885559082,0.0003,0.0077,0.992,23,False,True,True,FITNESS_CERT_EXPIRED; CRITICAL_JOB_OPEN; CERT_EXPIRING_SOON,True,IBL,0.0
2026-02-20 00:46:34.237444,TS-015,67.0,89000.0,-23400.0,23400.0,6.8,0.61,6.4,804,60,60,60,60,0,0,0,0,0,15.299999999999999,15.0,11.25,761,1,3,8,8,0,1.5,8,0,0,0,0,4,0.5408,1e-04,0.9012,SERVICE,0.5407999753952026,0.9999,1e-04,0.0,4,True,False,False,CLEAR,False,SERVICE,0.7493004697221577
2026-02-20 00:46:34.237444,TS-016,90.0,138000.0,25600.0,25600.0,9.4,0.79,7.5,1080,60,60,60,60,0,0,0,0,0,17.099999999999998,5.0,8.5,770,1,3,8,6,0,2.0,6,0,0,0,0,4,0.5097,1e-04,0.8495,SERVICE,0.5097000002861023,0.9974,0.0021,0.0005,17,True,False,False,CLEAR,False,SERVICE,0.26249365355908555
2026-02-20 00:46:34.237444,TS-017,77.0,104000.0,-8400.0,8400.0,7.5,0.67,6.8,924,-713,-713,-713,-713,1,0,1,1,1,14.4,20.0,7.0,772,1,3,8,3,1,2.5,3,1,1,0,0,4,0.5533,0.0,0.9221,IBL,0.5533000230789185,0.0005,0.0066,0.9929,22,False,True,True,FITNESS_CERT_EXPIRED; CRITICAL_JOB_OPEN; CERT_EXPIRING_SOON,True,IBL,0.0
2026-02-20 00:46:34.237444,TS-018,60.0,78000.0,-34400.0,34400.0,6.2,0.56,6.0,720,60,60,60,60,0,0,0,0,0,16.2,10.0,10.0,760,1,3,8,9,0,1.5,9,0,0,0,0,4,0.5352,1e-04,0.892,SERVICE,0.5351999998092651,1.0,0.0,0.0,5,True,False,False,CLEAR,False,SERVICE,0.7427173719601079
2026-02-20 00:46:34.237444,TS-019,83.0,122000.0,9600.0,9600.0,8.4,0.72,7.1,996,60,60,60,60,0,0,0,0,0,18.0,0.0,0.0,767,1,3,8,7,0,2.0,7,0,0,0,0,4,0.5232,0.0002,0.8718,SERVICE,0.5231999754905701,0.9986,0.0012,0.0002,13,True,False,False,CLEAR,False,SERVICE,0.3055710876809953
2026-02-20 00:46:34.237444,TS-020,70.0,96000.0,-16400.0,16400.0,7.0,0.63,6.6,840,60,60,60,60,0,0,0,0,0,15.299999999999999,15.0,12.75,759,1,3,8,10,0,1.5,10,0,0,0,0,4,0.5292,0.0018,0.8808,SERVICE,0.52920001745224,0.9999,1e-04,0.0,9,True,False,False,CLEAR,False,SERVICE,0.693067079958839
2026-02-20 00:46:34.237444,TS-021,93.0,144000.0,31600.0,31600.0,9.8,0.81,7.8,1116,60,60,60,60,0,0,0,0,0,15.299999999999999,15.0,9.75,771,1,3,8,8,0,2.0,8,0,0,0,0,4,0.5477,1e-04,0.9127,SERVICE,0.5476999878883362,0.9896,0.0086,0.0018,2,True,False,False,CLEAR,False,SERVICE,0.4662508738308132
2026-02-20 00:46:34.237444,TS-022,63.0,86000.0,-26400.0,26400.0,6.5,0.59,6.2,756,60,60,60,60,0,0,0,0,0,17.099999999999998,5.0,7.75,758,1,3,8,11,0,1.5,11,0,0,0,0,4,0.5256,0.0002,0.8758,SERVICE,0.525600016117096,0.9999,0.0,0.0,10,True,False,False,CLEAR,False,SERVICE,0.6505718466991975
2026-02-20 00:46:34.237444,TS-023,87.0,130000.0,17600.0,17600.0,9.0,0.76,7.4,1044,60,60,60,60,0,0,0,0,0,16.2,10.0,10.5,769,1,3,8,9,0,2.0,9,0,0,0,0,4,0.5294,1e-04,0.8822,SERVICE,0.5293999910354614,0.9982,0.0016,0.0002,7,True,False,False,CLEAR,False,SERVICE,0.4271896362093233
2026-02-20 00:46:34.237444,TS-024,73.0,100000.0,-12400.0,12400.0,7.2,0.66,6.8,876,60,60,60,60,0,0,0,0,0,13.5,25.0,6.25,773,1,3,8,4,1,2.5,4,0,0,0,0,4,0.5255,1e-04,0.8758,SERVICE,0.5254999995231628,0.9999,1e-04,0.0,11,True,False,False,CLEAR,False,SERVICE,0.3461886542645449
2026-02-20 00:46:34.237444,TS-025,80.0,116000.0,3600.0,3600.0,8.0,0.69,7.0,960,60,60,60,60,0,0,0,0,0,15.299999999999999,15.0,12.0,757,1,3,8,12,0,1.5,12,0,0,0,0,4,0.5223,1e-04,0.8705,SERVICE,0.5223000049591064,0.9992,0.0006,0.0002,14,True,False,False,CLEAR,False,SERVICE,0.5973733603421619
